"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"08.11.2022","4.974,00","5.107,00","5.123,13","4.964,91","","-2,55%"
"07.11.2022","5.104,00","5.096,59","5.109,00","5.089,85","","0,33%"
"04.11.2022","5.087,00","5.068,85","5.118,17","4.999,92","","0,57%"
"03.11.2022","5.057,94","5.003,03","5.105,35","5.000,53","","1,20%"
"02.11.2022","4.998,03","5.003,50","5.010,30","4.969,93","","-0,10%"
"01.11.2022","5.003,00","4.936,60","5.015,25","4.887,83","","1,49%"
"31.10.2022","4.929,35","4.835,00","4.946,33","4.829,75","","2,22%"
"28.10.2022","4.822,08","4.800,00","4.867,71","4.760,04","","0,73%"
"27.10.2022","4.787,08","4.884,06","4.889,98","4.792,79","","-1,73%"
"26.10.2022","4.871,14","4.975,20","4.989,34","4.873,38","","-1,86%"
"25.10.2022","4.963,45","4.990,00","4.990,88","4.911,55","","-0,30%"
"24.10.2022","4.978,25","4.918,10","5.003,58","4.912,20","","1,47%"
"21.10.2022","4.906,35","4.904,00","4.960,13","4.877,55","","0,29%"
"20.10.2022","4.892,25","4.840,00","4.923,63","4.836,38","","1,20%"
"19.10.2022","4.834,13","4.762,10","4.859,79","4.759,71","","1,64%"
"18.10.2022","4.756,23","4.735,00","4.791,02","4.682,00","","0,57%"
"17.10.2022","4.729,13","4.698,00","4.735,94","4.693,23","","0,79%"
"14.10.2022","4.692,13","4.575,71","4.702,00","4.548,25","","2,68%"
"13.10.2022","4.569,83","4.607,90","4.661,35","4.574,52","","-0,70%"
"12.10.2022","4.602,03","4.607,25","4.628,06","4.597,65","","0,01%"
"11.10.2022","4.601,38","4.606,02","4.636,76","4.583,79","","0,03%"
"10.10.2022","4.600,15","4.620,00","4.620,00","4.602,57","","-0,30%"
